project, pr_id, user, pr_title, URL
hexojs/hexo,3679,curbengh,perf(open_graph): replace cheerio with dom-parser,https://github.com/hexojs/hexo/pull/3679
hexojs/hexo,3673,SukkaW,feat(open_graph): only require moment when (page.updated),https://github.com/hexojs/hexo/pull/3673
hexojs/hexo,3670,SukkaW,perf(open_graph): only require cheerio when content contains '<img',https://github.com/hexojs/hexo/pull/3670
hexojs/hexo,3669,curbengh,perf(meta_generator): re-implement as a helper ,https://github.com/hexojs/hexo/pull/3669
hexojs/hexo,3648,curbengh,test: allow empty attribute,https://github.com/hexojs/hexo/pull/3648
hexojs/hexo,3613,dependabot-preview,chore(deps-dev): update lint-staged requirement from ^8.1.0 to ^9.0.2,https://github.com/hexojs/hexo/pull/3613
hexojs/hexo,3609,dependabot-preview,chore(deps-dev): update lint-staged requirement from ^8.1.0 to ^9.0.1,https://github.com/hexojs/hexo/pull/3609
hexojs/hexo,3607,dependabot-preview,chore(deps-dev): update lint-staged requirement from ^8.1.0 to ^9.0.0,https://github.com/hexojs/hexo/pull/3607
hexojs/hexo,3604,sKawashima,Fix to use root to export Permalink,https://github.com/hexojs/hexo/pull/3604
hexojs/hexo,3599,dependabot-preview,chore(deps-dev): update husky requirement from ^1.1.3 to ^2.7.0,https://github.com/hexojs/hexo/pull/3599
hexojs/hexo,3597,dependabot-preview,chore(deps-dev): update husky requirement from ^1.1.3 to ^2.5.0,https://github.com/hexojs/hexo/pull/3597
hexojs/hexo,3596,dependabot-preview,chore(deps-dev): update eslint requirement from ^5.9.0 to ^6.0.1,https://github.com/hexojs/hexo/pull/3596
hexojs/hexo,3593,dependabot-preview,chore(deps-dev): update eslint requirement from ^5.9.0 to ^6.0.0,https://github.com/hexojs/hexo/pull/3593
hexojs/hexo,3581,dependabot-preview,chore(deps-dev): update husky requirement from ^1.1.3 to ^2.4.1,https://github.com/hexojs/hexo/pull/3581
hexojs/hexo,3575,dependabot-preview,chore(deps-dev): update husky requirement from ^1.1.3 to ^2.4.0,https://github.com/hexojs/hexo/pull/3575
hexojs/hexo,3550,dependabot-preview,chore(deps-dev): update husky requirement from ^1.1.3 to ^2.3.0,https://github.com/hexojs/hexo/pull/3550
hexojs/hexo,3548,dependabot-preview,chore(deps-dev): update hexo-renderer-marked requirement from ^0.3.0 to ^1.0.1,https://github.com/hexojs/hexo/pull/3548
hexojs/hexo,3545,dependabot-preview,chore(deps-dev): update hexo-renderer-marked requirement from ^0.3.0 to ^1.0.0,https://github.com/hexojs/hexo/pull/3545
hexojs/hexo,3544,rupertqin,if post.title is empty, set it to post.slug,https://github.com/hexojs/hexo/pull/3544
hexojs/hexo,3542,dependabot-preview,chore(deps-dev): update husky requirement from ^1.1.3 to ^2.2.0,https://github.com/hexojs/hexo/pull/3542
hexojs/hexo,3537,dependabot-preview,chore(deps-dev): update husky requirement from ^1.1.3 to ^2.1.0,https://github.com/hexojs/hexo/pull/3537
hexojs/hexo,3448,honjun,添加bilibili视频标签,https://github.com/hexojs/hexo/pull/3448
hexojs/hexo,3379,tomap,remove useless file from npm module,https://github.com/hexojs/hexo/pull/3379
hexojs/hexo,3283,Xaviju,Make default vimeo video responsive and allow strict sizing,https://github.com/hexojs/hexo/pull/3283
hexojs/hexo,3277,YoshinoriN,Update devDependencies,https://github.com/hexojs/hexo/pull/3277
hexojs/hexo,3234,OpportunityLiu,Disable highlighting for specific languages,https://github.com/hexojs/hexo/pull/3234
hexojs/hexo,3210,harderyao,sources,https://github.com/hexojs/hexo/pull/3210
hexojs/hexo,3162,tangkunyin,add timestamp for post data,https://github.com/hexojs/hexo/pull/3162
hexojs/hexo,3134,seff,Fix #3077,https://github.com/hexojs/hexo/pull/3134
hexojs/hexo,3101,segayuu,Fix simple code,https://github.com/hexojs/hexo/pull/3101
