project, pr_id, user, pr_title, URL
eslint/eslint,10079,hulkish,Replaced babel-code-frame with @babel/code-frame, enabled highlightCode,https://github.com/eslint/eslint/pull/10079
eslint/eslint,10058,jaydenseric,Update: Add mjs to --ext default (fixes #9592),https://github.com/eslint/eslint/pull/10058
eslint/eslint,10056,steabert,Fix: silently skip non-existing files (fixes #10039),https://github.com/eslint/eslint/pull/10056
eslint/eslint,10032,not-an-aardvark,Chore: improve autofix performance (fixes #9998),https://github.com/eslint/eslint/pull/10032
eslint/eslint,10018,blake-regalia,Update: Add option `"maxConcat"` to `prefer-template` rule (fixes #10017),https://github.com/eslint/eslint/pull/10018
eslint/eslint,10016,blake-regalia,Update: Allow for no lines around comments before else (fixes #10015),https://github.com/eslint/eslint/pull/10016
eslint/eslint,9989,pvdlg,Docs: Add prefer-destructuring examples (fixes #9970),https://github.com/eslint/eslint/pull/9989
eslint/eslint,9982,PenelopeFudd,Docs: Update no-func-assign.md,https://github.com/eslint/eslint/pull/9982
eslint/eslint,9979,germanz,Fix: valid-jsdoc failure for missing return in interface methods (fixes #9978),https://github.com/eslint/eslint/pull/9979
eslint/eslint,9935,caub,Chore: Use json5 for parsing json configs,https://github.com/eslint/eslint/pull/9935
eslint/eslint,9902,betaorbust,Breaking: Rule Tester strictly checks messageId and data. (fixes #9890),https://github.com/eslint/eslint/pull/9902
eslint/eslint,9896,ngotchac,Fix: Module resolution (fixes #9897),https://github.com/eslint/eslint/pull/9896
eslint/eslint,9871,ppatotski,Enabled accessing 'data' for processors.,https://github.com/eslint/eslint/pull/9871
eslint/eslint,9865,doodadjs,Fix: Add exceptions (refs #9233),https://github.com/eslint/eslint/pull/9865
eslint/eslint,9864,maciej-ka,New: Option to use yarn in init wizard (#9863),https://github.com/eslint/eslint/pull/9864
eslint/eslint,9860,wmertens,Fix: no-shadow-restricted-names catch {} crash,https://github.com/eslint/eslint/pull/9860
eslint/eslint,9840,pmcelhaney,Update: use meta.docs.url in HTML formatter,https://github.com/eslint/eslint/pull/9840
eslint/eslint,9826,IanSavchenko,Update: Brace style for `import` statements,https://github.com/eslint/eslint/pull/9826
eslint/eslint,9823,j-f1,Update: Restrict re-exports in no-restricted-imports,https://github.com/eslint/eslint/pull/9823
eslint/eslint,9814,silvenon,Chore: Update GitHub PR template,https://github.com/eslint/eslint/pull/9814
eslint/eslint,9809,gyandeeps,Breaking: Upgrade minimum nodejs version to 6,https://github.com/eslint/eslint/pull/9809
eslint/eslint,9772,kala888,target could be undefined in Webstorm,https://github.com/eslint/eslint/pull/9772
